시도,군구,관광지,내/외국인,총계(2019.01 ~ 2020.12),인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,인원계,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월
충청남도,천안시,각원사,내국인,"211,697","105,259","7,393","7,277","8,226","17,941","14,322","8,724","5,969","6,510","6,333","9,607","7,501","5,456","106,438","7,729","4,797","8,238","21,610","14,643","6,873","6,339","5,270","7,103","12,020","7,035","4,781"
충청남도,천안시,각원사,합계,"211,697","105,259","7,393","7,277","8,226","17,941","14,322","8,724","5,969","6,510","6,333","9,607","7,501","5,456","106,438","7,729","4,797","8,238","21,610","14,643","6,873","6,339","5,270","7,103","12,020","7,035","4,781"
충청남도,천안시,광덕산,내국인,"474,042","222,115","16,400","17,079","19,371","18,145","25,447","21,294","16,392","20,428","16,185","21,109","15,918","14,347","251,927","15,812","14,236","21,493","25,479","26,253","22,482","21,882","18,990","22,430","28,047","17,825","16,998"
충청남도,천안시,광덕산,합계,"474,042","222,115","16,400","17,079","19,371","18,145","25,447","21,294","16,392","20,428","16,185","21,109","15,918","14,347","251,927","15,812","14,236","21,493","25,479","26,253","22,482","21,882","18,990","22,430","28,047","17,825","16,998"
충청남도,천안시,대명리조트 천안,내국인,"428,475","356,515","12,296","20,084","30,268","20,296","22,639","24,612","86,400","122,518","17,402",0,0,0,"71,960",0,0,0,0,0,"11,604","12,356","15,106","7,367","9,938","9,639","5,950"
충청남도,천안시,대명리조트 천안,외국인,"1,115","1,115",48,124,59,147,61,33,32,17,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,천안시,대명리조트 천안,합계,"429,590","357,630","12,344","20,208","30,327","20,443","22,700","24,645","86,432","122,535","17,996",0,0,0,"71,960",0,0,0,0,0,"11,604","12,356","15,106","7,367","9,938","9,639","5,950"
충청남도,천안시,독립기념관,내국인,"2,374,408","1,780,522","89,359","111,045","180,187","183,437","226,442","128,461","81,304","159,681","106,672","221,626","221,750","70,558","593,886","71,398","30,662",0,"6,222","63,450","61,672","58,893","57,260",0,"107,924","109,758","26,647"
충청남도,천안시,독립기념관,외국인,"16,094","15,461",716,866,"1,852","2,015","1,919","1,056","2,116","1,325",841,848,"1,345",562,633,450,183,0,0,0,0,0,0,0,0,0,0
충청남도,천안시,독립기념관,합계,"2,390,502","1,795,983","90,075","111,911","182,039","185,452","228,361","129,517","83,420","161,006","107,513","222,474","223,095","71,120","594,519","71,848","30,845",0,"6,222","63,450","61,672","58,893","57,260",0,"107,924","109,758","26,647"
충청남도,천안시,유관순열사 생가,내국인,"121,369","88,220","3,655","6,687","14,606","10,812","9,855","8,093","5,782","8,317","5,733","8,316","6,364",0,"33,149","3,013","1,734",0,"2,959","3,051","2,421","2,333","3,133","2,385","5,040","4,196","2,884"
충청남도,천안시,유관순열사 생가,합계,"121,369","88,220","3,655","6,687","14,606","10,812","9,855","8,093","5,782","8,317","5,733","8,316","6,364",0,"33,149","3,013","1,734",0,"2,959","3,051","2,421","2,333","3,133","2,385","5,040","4,196","2,884"
충청남도,천안시,유관순열사사적지,내국인,"137,061","110,020","5,567","13,926","21,083","15,258","14,976","10,036","4,226","5,690","4,985","6,300","5,509","2,464","27,041","3,672","1,999",0,"3,185","2,922","1,980","1,630","1,433","2,717","3,114","2,858","1,531"
충청남도,천안시,유관순열사사적지,합계,"137,061","110,020","5,567","13,926","21,083","15,258","14,976","10,036","4,226","5,690","4,985","6,300","5,509","2,464","27,041","3,672","1,999",0,"3,185","2,922","1,980","1,630","1,433","2,717","3,114","2,858","1,531"
충청남도,천안시,천안박물관,내국인,"198,711","163,588","12,405","12,920","15,819","14,994","16,801","15,339","14,505","16,003","12,855","15,845","8,109","7,993","35,123","4,292","3,702",0,828,"3,919","5,003","2,961","3,384",449,"2,688","3,950","3,947"
충청남도,천안시,천안박물관,합계,"198,711","163,588","12,405","12,920","15,819","14,994","16,801","15,339","14,505","16,003","12,855","15,845","8,109","7,993","35,123","4,292","3,702",0,828,"3,919","5,003","2,961","3,384",449,"2,688","3,950","3,947"
충청남도,천안시,천안상록리조트,내국인,"1,080,285","805,809","103,485","38,314","30,400","54,928","76,893","78,922","108,868","117,340","48,158","67,598","30,347","50,556","274,476","80,304","10,144","13,768","15,089","16,160","16,158","22,679","28,178","20,619","24,968","17,105","9,304"
충청남도,천안시,천안상록리조트,합계,"1,080,285","805,809","103,485","38,314","30,400","54,928","76,893","78,922","108,868","117,340","48,158","67,598","30,347","50,556","274,476","80,304","10,144","13,768","15,089","16,160","16,158","22,679","28,178","20,619","24,968","17,105","9,304"
충청남도,천안시,천안예술의전당,내국인,"130,987","121,911","3,120","2,511","7,940","6,727","28,603","23,315","3,587","6,992","6,199","10,965","11,829","10,123","9,076",792,0,0,0,428,984,"2,602","2,709",159,818,494,90
충청남도,천안시,천안예술의전당,합계,"130,987","121,911","3,120","2,511","7,940","6,727","28,603","23,315","3,587","6,992","6,199","10,965","11,829","10,123","9,076",792,0,0,0,428,984,"2,602","2,709",159,818,494,90
충청남도,천안시,천안홍대용과학관,내국인,"132,929","101,825","11,150","8,830","7,746","7,735","9,043","7,737","8,824","16,895","4,536","7,625","5,682","6,022","31,104","5,697","1,806",0,0,"1,949","3,560","3,771","5,952",25,"3,845","3,191","1,308"
충청남도,천안시,천안홍대용과학관,합계,"132,929","101,825","11,150","8,830","7,746","7,735","9,043","7,737","8,824","16,895","4,536","7,625","5,682","6,022","31,104","5,697","1,806",0,0,"1,949","3,560","3,771","5,952",25,"3,845","3,191","1,308"
충청남도,천안시,태학산자연휴양림,내국인,"100,594","83,756","3,373","3,565","4,444","9,532","10,835","9,287","8,824","6,910","8,655","8,191","6,840","3,300","16,838","2,700",234,650,"1,193","1,478","1,285","3,756","1,184","1,278","1,586","1,051",443
충청남도,천안시,태학산자연휴양림,합계,"100,594","83,756","3,373","3,565","4,444","9,532","10,835","9,287","8,824","6,910","8,655","8,191","6,840","3,300","16,838","2,700",234,650,"1,193","1,478","1,285","3,756","1,184","1,278","1,586","1,051",443
충청남도,공주시,계룡산국립공원(갑사),내국인,"257,026","122,489","5,562","4,980","5,900","10,464","10,978","9,377","10,901","8,043","6,069","19,690","22,294","8,231","134,537","8,383","3,585","6,037","8,985","10,121","7,284","9,219","9,746","11,587","29,282","23,964","6,344"
충청남도,공주시,계룡산국립공원(갑사),외국인,736,689,27,34,31,34,75,36,46,26,113,110,112,45,47,31,10,6,0,0,0,0,0,0,0,0,0
충청남도,공주시,계룡산국립공원(갑사),합계,"257,762","123,178","5,589","5,014","5,931","10,498","11,053","9,413","10,947","8,069","6,182","19,800","22,406","8,276","134,584","8,414","3,595","6,043","8,985","10,121","7,284","9,219","9,746","11,587","29,282","23,964","6,344"
충청남도,공주시,계룡산국립공원(동학사),내국인,"1,079,134","593,681","35,256","33,822","41,980","75,421","58,361","49,537","38,844","45,837","36,735","71,983","71,329","34,576","485,453","34,056","26,654","42,193","55,696","48,892","35,837","32,404","32,573","36,256","63,424","49,279","28,189"
충청남도,공주시,계룡산국립공원(동학사),외국인,"1,438","1,350",46,62,50,186,73,27,66,109,81,473,123,54,88,69,19,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,계룡산국립공원(동학사),합계,"1,080,572","595,031","35,302","33,884","42,030","75,607","58,434","49,564","38,910","45,946","36,816","72,456","71,452","34,630","485,541","34,125","26,673","42,193","55,696","48,892","35,837","32,404","32,573","36,256","63,424","49,279","28,189"
충청남도,공주시,계룡산국립공원(병사골),내국인,"34,514","12,659","1,105","1,268","1,290","1,213","1,022",957,595,800,969,"1,459","1,069",912,"21,855",998,992,"1,736","1,868","1,212","1,051","1,934","1,477","2,722","3,780","1,908","2,177"
충청남도,공주시,계룡산국립공원(병사골),합계,"34,514","12,659","1,105","1,268","1,290","1,213","1,022",957,595,800,969,"1,459","1,069",912,"21,855",998,992,"1,736","1,868","1,212","1,051","1,934","1,477","2,722","3,780","1,908","2,177"
충청남도,공주시,계룡산국립공원(상신),내국인,"81,076","39,347","2,461","2,374","2,760","2,860","5,511","3,514","3,101","4,951","1,897","3,665","3,890","2,363","41,729","2,468","2,747","3,731","3,692","3,371","3,431","2,723","3,850","3,643","5,291","3,502","3,280"
충청남도,공주시,계룡산국립공원(상신),합계,"81,076","39,347","2,461","2,374","2,760","2,860","5,511","3,514","3,101","4,951","1,897","3,665","3,890","2,363","41,729","2,468","2,747","3,731","3,692","3,371","3,431","2,723","3,850","3,643","5,291","3,502","3,280"
충청남도,공주시,계룡산국립공원(신원사),내국인,"145,632","74,929","4,545","4,038","4,881","7,479","6,778","6,038","6,717","4,423","3,319","10,619","12,114","3,978","70,703","4,461","2,909","5,491","7,375","8,395","4,676","6,656","5,552","6,781","11,738","4,164","2,505"
충청남도,공주시,계룡산국립공원(신원사),외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,계룡산국립공원(신원사),합계,"145,632","74,929","4,545","4,038","4,881","7,479","6,778","6,038","6,717","4,423","3,319","10,619","12,114","3,978","70,703","4,461","2,909","5,491","7,375","8,395","4,676","6,656","5,552","6,781","11,738","4,164","2,505"
충청남도,공주시,계룡산국립공원(지석골),내국인,"34,390","12,624",947,"1,033","1,062","1,389","1,112","1,170",722,932,917,"1,160","1,402",778,"21,766",805,"1,012","1,559","1,595","1,295","1,485","1,809","1,303","2,171","3,121","2,026","3,585"
충청남도,공주시,계룡산국립공원(지석골),합계,"34,390","12,624",947,"1,033","1,062","1,389","1,112","1,170",722,932,917,"1,160","1,402",778,"21,766",805,"1,012","1,559","1,595","1,295","1,485","1,809","1,303","2,171","3,121","2,026","3,585"
충청남도,공주시,계룡산국립공원(천정),내국인,"209,631","78,586","9,743","8,339","13,334","4,098","11,246","4,743","3,443","4,020","3,122","6,860","6,322","3,316","131,045","3,667","3,042","5,621","5,355","10,122","8,505","11,204","9,255","14,969","25,290","16,093","17,922"
충청남도,공주시,계룡산국립공원(천정),합계,"209,631","78,586","9,743","8,339","13,334","4,098","11,246","4,743","3,443","4,020","3,122","6,860","6,322","3,316","131,045","3,667","3,042","5,621","5,355","10,122","8,505","11,204","9,255","14,969","25,290","16,093","17,922"
충청남도,공주시,고마아트센터,내국인,"292,815","55,113",,,,,,,,,,"21,816","21,630","11,667","237,702","109,649","5,153","4,460","3,238","10,464","11,041","10,997","19,616","11,036","19,811","21,163","11,074"
충청남도,공주시,고마아트센터,합계,"292,815","55,113",,,,,,,,,,"21,816","21,630","11,667","237,702","109,649","5,153","4,460","3,238","10,464","11,041","10,997","19,616","11,036","19,811","21,163","11,074"
충청남도,공주시,골드리버CC,내국인,"94,116","41,499","1,111","1,839","3,848","4,045","4,921","4,462","3,545","3,366","3,534","4,797","4,116","1,915","52,617","1,379","2,208","3,773","4,964","5,361","5,613","5,039","4,517","5,255","6,214","4,863","3,431"
충청남도,공주시,골드리버CC,합계,"94,116","41,499","1,111","1,839","3,848","4,045","4,921","4,462","3,545","3,366","3,534","4,797","4,116","1,915","52,617","1,379","2,208","3,773","4,964","5,361","5,613","5,039","4,517","5,255","6,214","4,863","3,431"
충청남도,공주시,공산성,내국인,"530,350","301,809","14,966","15,955","21,297","29,107","33,246","22,884","11,405","13,618","29,990","55,657","33,315","20,369","228,541","16,791","11,142","12,780","18,339","30,153","12,236","13,096","10,524","18,860","45,713","27,043","11,864"
충청남도,공주시,공산성,외국인,"3,053","2,980",149,82,343,575,307,559,239,303,165,119,104,35,73,38,35,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,공산성,합계,"533,403","304,789","15,115","16,037","21,640","29,682","33,553","23,443","11,644","13,921","30,155","55,776","33,419","20,404","228,614","16,829","11,177","12,780","18,339","30,153","12,236","13,096","10,524","18,860","45,713","27,043","11,864"
충청남도,공주시,공주 한옥마을,내국인,"138,596","85,366","6,136","7,099","6,031","6,951","8,135","7,068","6,160","8,210","5,569","8,775","7,964","7,268","53,230","6,966","3,753","1,215","2,339","5,091","3,917","4,142","7,746","3,158","6,248","5,711","2,944"
충청남도,공주시,공주 한옥마을,외국인,"1,646","1,553",14,9,40,53,124,120,82,20,54,44,631,362,93,89,4,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,공주 한옥마을,합계,"140,242","86,919","6,150","7,108","6,071","7,004","8,259","7,188","6,242","8,230","5,623","8,819","8,595","7,630","53,323","7,055","3,757","1,215","2,339","5,091","3,917","4,142","7,746","3,158","6,248","5,711","2,944"
충청남도,공주시,공주산림휴양마을 목재체험관,내국인,"134,446","84,731","3,018","3,390","5,797","7,572","9,571","9,363","7,441","10,322","8,492","8,801","6,094","4,870","49,715","4,655","4,812",808,955,960,"5,083","8,559","8,882","2,034","4,126","5,158","3,683"
충청남도,공주시,공주산림휴양마을 목재체험관,합계,"134,446","84,731","3,018","3,390","5,797","7,572","9,571","9,363","7,441","10,322","8,492","8,801","6,094","4,870","49,715","4,655","4,812",808,955,960,"5,083","8,559","8,882","2,034","4,126","5,158","3,683"
충청남도,공주시,국립공주박물관,내국인,"802,178","688,594","36,643","38,783","44,139","53,419","109,298","47,636","44,381","59,304","70,822","96,933","52,462","34,774","113,584","35,875","10,105",0,0,"4,309","6,240","11,553","17,384",499,"11,392","10,645","5,582"
충청남도,공주시,국립공주박물관,외국인,"7,977","7,292",280,187,353,749,726,660,487,706,"1,294",794,727,329,685,247,159,0,0,24,27,28,48,5,73,68,6
충청남도,공주시,국립공주박물관,합계,"810,155","695,886","36,923","38,970","44,492","54,168","110,024","48,296","44,868","60,010","72,116","97,727","53,189","35,103","114,269","36,122","10,264",0,0,"4,333","6,267","11,581","17,432",504,"11,465","10,713","5,588"
충청남도,공주시,마곡사,내국인,"648,179","362,096","10,818","14,998","19,902","24,833","22,579","24,744","13,349","15,980","16,146","89,822","85,565","23,360","286,083","15,480","10,240","18,814","17,529","22,754","16,758","15,260","18,434","19,013","67,744","50,418","13,639"
충청남도,공주시,마곡사,외국인,"1,238","1,238",0,0,0,0,0,0,0,0,0,718,498,22,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,마곡사,합계,"649,417","363,334","10,818","14,998","19,902","24,833","22,579","24,744","13,349","15,980","16,146","90,540","86,063","23,382","286,083","15,480","10,240","18,814","17,529","22,754","16,758","15,260","18,434","19,013","67,744","50,418","13,639"
충청남도,공주시,석장리박물관,내국인,"340,672","270,005","7,175","5,870","8,202","13,843","161,142","9,027","7,025","9,239","11,838","20,389","10,003","6,252","70,667","6,610","4,921","5,999","6,350","7,362","4,762","5,131","4,817","4,691","10,742","6,117","3,165"
충청남도,공주시,석장리박물관,외국인,137,114,0,0,0,0,0,0,0,0,0,96,2,16,23,14,9,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,석장리박물관,합계,"340,809","270,119","7,175","5,870","8,202","13,843","161,142","9,027","7,025","9,239","11,838","20,485","10,005","6,268","70,690","6,624","4,930","5,999","6,350","7,362","4,762","5,131","4,817","4,691","10,742","6,117","3,165"
충청남도,공주시,송산리고분군,내국인,"355,054","221,806","9,769","8,725","14,963","17,577","23,461","13,615","8,164","15,554","23,320","45,380","22,476","18,802","133,248","13,635","6,098","5,298","5,948","13,098","8,236","9,885","16,958","8,760","24,282","16,441","4,609"
충청남도,공주시,송산리고분군,외국인,"5,060","4,874",29,41,204,552,559,289,426,589,501,"1,054",505,125,186,86,98,2,0,0,0,0,0,0,0,0,0
충청남도,공주시,송산리고분군,합계,"360,114","226,680","9,798","8,766","15,167","18,129","24,020","13,904","8,590","16,143","23,821","46,434","22,981","18,927","133,434","13,721","6,196","5,300","5,948","13,098","8,236","9,885","16,958","8,760","24,282","16,441","4,609"
충청남도,공주시,수리치골성지,내국인,"68,251","35,426","1,061","1,176","2,116","4,029","3,463","4,250","2,117","3,221","2,702","3,037","5,024","3,230","32,825","1,383","1,708","1,868","1,856","4,241","2,690","2,161","2,743","3,636","4,789","3,600","2,150"
충청남도,공주시,수리치골성지,합계,"68,251","35,426","1,061","1,176","2,116","4,029","3,463","4,250","2,117","3,221","2,702","3,037","5,024","3,230","32,825","1,383","1,708","1,868","1,856","4,241","2,690","2,161","2,743","3,636","4,789","3,600","2,150"
충청남도,공주시,웅진백제역사관,내국인,"147,548","104,789","7,072","7,375","8,464","8,323","12,737","12,238","7,111","8,508","7,699","12,995","7,420","4,847","42,759","5,688","9,044",0,0,0,"3,851","4,782","7,270",585,"3,416","5,601","2,522"
충청남도,공주시,웅진백제역사관,합계,"147,548","104,789","7,072","7,375","8,464","8,323","12,737","12,238","7,111","8,508","7,699","12,995","7,420","4,847","42,759","5,688","9,044",0,0,0,"3,851","4,782","7,270",585,"3,416","5,601","2,522"
충청남도,공주시,임립미술관,내국인,"32,879","27,352",290,318,222,"1,767","1,680","1,470",590,665,"1,150","13,000","5,000","1,200","5,527",102,71,0,18,250,300,500,700,"1,010","2,056",263,257
충청남도,공주시,임립미술관,합계,"32,879","27,352",290,318,222,"1,767","1,680","1,470",590,665,"1,150","13,000","5,000","1,200","5,527",102,71,0,18,250,300,500,700,"1,010","2,056",263,257
충청남도,공주시,자연사박물관,내국인,"154,082","124,359","8,303","9,104","11,879","13,404","13,563","9,999","8,025","13,506","8,325","14,607","7,908","5,736","29,723","6,489","1,459",0,"1,713","5,573","2,517","2,831","3,077","2,105","2,121","1,541",297
충청남도,공주시,자연사박물관,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,자연사박물관,합계,"154,082","124,359","8,303","9,104","11,879","13,404","13,563","9,999","8,025","13,506","8,325","14,607","7,908","5,736","29,723","6,489","1,459",0,"1,713","5,573","2,517","2,831","3,077","2,105","2,121","1,541",297
충청남도,공주시,풀꽃문학관,내국인,"52,983","37,443","1,011","1,243","1,557","2,175","5,363","2,178","1,994","3,789","3,776","7,677","5,412","1,268","15,540","1,600",839,678,778,"1,111",997,962,"1,509","1,405","2,973","1,824",864
충청남도,공주시,풀꽃문학관,합계,"52,983","37,443","1,011","1,243","1,557","2,175","5,363","2,178","1,994","3,789","3,776","7,677","5,412","1,268","15,540","1,600",839,678,778,"1,111",997,962,"1,509","1,405","2,973","1,824",864
충청남도,공주시,프린세스 골프클럽,내국인,"169,176","82,151","1,592","3,183","7,517","8,153","9,477","9,195","7,815","7,424","7,397","9,389","8,028","2,981","87,025","1,876","3,580","6,689","8,687","9,333","9,548","8,306","8,037","8,891","9,685","8,202","4,191"
충청남도,공주시,프린세스 골프클럽,합계,"169,176","82,151","1,592","3,183","7,517","8,153","9,477","9,195","7,815","7,424","7,397","9,389","8,028","2,981","87,025","1,876","3,580","6,689","8,687","9,333","9,548","8,306","8,037","8,891","9,685","8,202","4,191"
충청남도,공주시,황새바위성지,내국인,"185,828","112,428","4,374","5,416","8,465","8,605","15,226","14,430","5,312","4,937","10,091","20,923","8,645","6,004","73,400","4,248","4,604","5,996","6,418","5,504","3,421","4,001","4,326","8,137","12,105","8,272","6,368"
충청남도,공주시,황새바위성지,합계,"185,828","112,428","4,374","5,416","8,465","8,605","15,226","14,430","5,312","4,937","10,091","20,923","8,645","6,004","73,400","4,248","4,604","5,996","6,418","5,504","3,421","4,001","4,326","8,137","12,105","8,272","6,368"
충청남도,보령시,개화예술공원,내국인,"505,765","317,458","11,839","13,245","20,287","49,310","47,184","28,147","21,885","25,896","29,733","22,848","25,180","21,904","188,307","15,240","6,534","10,883","20,058","22,479","16,149","15,786","17,797","18,038","17,677","15,750","11,916"
충청남도,보령시,개화예술공원,합계,"505,765","317,458","11,839","13,245","20,287","49,310","47,184","28,147","21,885","25,896","29,733","22,848","25,180","21,904","188,307","15,240","6,534","10,883","20,058","22,479","16,149","15,786","17,797","18,038","17,677","15,750","11,916"
충청남도,보령시,냉풍욕장,내국인,"89,368","89,368",,,,,,"2,888","22,884","63,596",0,,,,0,,,,,,0,0,0,0,0,0,0
충청남도,보령시,냉풍욕장,합계,"89,368","89,368",,,,,,"2,888","22,884","63,596",0,,,,0,,,,,,0,0,0,0,0,0,0
충청남도,보령시,대천연안 여객선 터미널,내국인,"185,681","112,746","3,383","5,312","4,841","7,955","13,993","12,620","12,894","21,003","10,726","11,542","5,919","2,558","72,935","3,464","2,120","2,039","3,920","9,106","8,068","8,511","12,430","6,250","10,003","4,646","2,378"
충청남도,보령시,대천연안 여객선 터미널,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,보령시,대천연안 여객선 터미널,합계,"185,681","112,746","3,383","5,312","4,841","7,955","13,993","12,620","12,894","21,003","10,726","11,542","5,919","2,558","72,935","3,464","2,120","2,039","3,920","9,106","8,068","8,511","12,430","6,250","10,003","4,646","2,378"
충청남도,보령시,보령머드박물관,내국인,"117,360","81,987","7,058","5,102","6,663","2,711","2,985","3,693","17,508","16,897","3,512","6,022","4,523","5,313","35,373","5,802","2,514",260,342,"1,883","3,488","6,304","6,604",898,"2,178","2,592","2,508"
